id,activityId,startTime,endTime,duration,note,polarity
27010703,821890,2020-11-05T17:03:27.187,2020-11-05T17:32:17.288,0 days 00:28:50.101000,,0.0
27067053,821890,2020-11-06T14:40:33.419,2020-11-06T16:02:42.489,0 days 01:22:09.070000,,0.0
27242666,821890,2020-11-10T14:37:10.686,2020-11-10T14:47:48.015,0 days 00:10:37.329000,,0.0
27260672,821890,2020-11-10T17:38:26.378,2020-11-10T18:13:27.921,0 days 00:35:01.543000,,0.0
27271894,821890,2020-11-10T20:34:51.806,2020-11-10T20:39:44.072,0 days 00:04:52.266000,,0.0
27276986,821890,2020-11-10T22:17:41.725,2020-11-10T23:30:57.680,0 days 01:13:15.955000,,0.0
27331709,821890,2020-11-11T16:57:53.799,2020-11-11T17:15:28.209,0 days 00:17:34.410000,,0.0
27336356,821890,2020-11-11T18:05:09.784,2020-11-11T18:46:44.941,0 days 00:41:35.157000,,0.0
27343617,821890,2020-11-11T20:21:00.473,2020-11-11T20:43:27.782,0 days 00:22:27.309000,,0.0
27413715,821890,2020-11-12T18:48:04.716,2020-11-12T19:38:46.082,0 days 00:50:41.366000,,0.0
27575897,821890,2020-11-16T16:58:10.706,2020-11-16T18:10:24.917,0 days 01:12:14.211000,,0.0
27643852,821890,2020-11-17T14:37:08.017,2020-11-17T14:59:28.691,0 days 00:22:20.674000,,0.0
27650904,821890,2020-11-17T15:45:01.845,2020-11-17T16:07:34.098,0 days 00:22:32.253000,,0.0
27657674,821890,2020-11-17T16:56:42.523,2020-11-17T17:19:11.264,0 days 00:22:28.741000,,0.0
27660265,821890,2020-11-17T17:26:05.345,2020-11-17T17:59:20.828,0 days 00:33:15.483000,,0.0
27673291,821890,2020-11-17T20:56:19.631,2020-11-17T21:03:33.207,0 days 00:07:13.576000,,0.0
27683695,821890,2020-11-18T02:47:27.298,2020-11-18T02:50:35.325,0 days 00:03:08.027000,,0.0
27730016,821890,2020-11-18T15:50:14.515,2020-11-18T16:11:16.455,0 days 00:21:01.940000,,0.0
27734873,821890,2020-11-18T17:01:01.086,2020-11-18T18:14:41.004,0 days 01:13:39.918000,,0.0
27754188,821890,2020-11-18T22:56:07.712,2020-11-18T23:29:41.193,0 days 00:33:33.481000,,0.0
27808489,821890,2020-11-19T16:10:21.304,2020-11-19T16:36:08.830,0 days 00:25:47.526000,,0.0
27818285,821890,2020-11-19T18:11:42.543,2020-11-19T18:30:19.601,0 days 00:18:37.058000,,0.0
27830160,821890,2020-11-19T21:46:22.450,2020-11-19T21:49:05.961,0 days 00:02:43.511000,,0.0
27831276,821890,2020-11-19T22:11:30.780,2020-11-19T22:12:51.582,0 days 00:01:20.802000,,0.0
27991678,821890,2020-11-23T19:55:28.004,2020-11-23T21:00:17.763,0 days 01:04:49.759000,,0.0
28000456,821890,2020-11-23T23:09:50.840,2020-11-23T23:58:40.808,0 days 00:48:49.968000,,0.0
28058882,821890,2020-11-24T17:35:05.297,2020-11-24T17:54:35.900,0 days 00:19:30.603000,,0.0
28322628,821890,2020-11-30T16:19:01.191,2020-11-30T16:30:10.770,0 days 00:11:09.579000,,0.0
28330379,821890,2020-11-30T17:45:28.990,2020-11-30T18:44:38.309,0 days 00:59:09.319000,,0.0
28335509,821890,2020-11-30T18:54:47.674,2020-11-30T20:23:50.072,0 days 01:29:02.398000,,0.0
28351187,821890,2020-12-01T00:17:28.249,2020-12-01T00:30:08.290,0 days 00:12:40.041000,,0.0
28411431,821890,2020-12-01T17:25:27.205,2020-12-01T17:59:29.240,0 days 00:34:02.035000,,0.0
28430450,821890,2020-12-01T22:29:33.582,2020-12-01T22:42:53.047,0 days 00:13:19.465000,,0.0
28431101,821890,2020-12-01T22:47:10.288,2020-12-01T23:41:29.991,0 days 00:54:19.703000,,0.0
28482987,821890,2020-12-02T15:34:25.439,2020-12-02T15:45:51.408,0 days 00:11:25.969000,,0.0
28745744,821890,2020-12-07T16:34:53.554,2020-12-07T16:51:09.654,0 days 00:16:16.100000,,0.0
28752937,821890,2020-12-07T17:54:38.462,2020-12-07T18:00:53.467,0 days 00:06:15.005000,,0.0
28758210,821890,2020-12-07T19:06:04.006,2020-12-07T19:57:36.413,0 days 00:51:32.407000,,0.0
28769401,821890,2020-12-07T22:09:31.122,2020-12-07T22:23:49.268,0 days 00:14:18.146000,,0.0
28817981,821890,2020-12-08T15:27:15.237,2020-12-08T15:35:15.068,0 days 00:07:59.831000,,0.0
28834082,821890,2020-12-08T18:37:06.516,2020-12-08T19:10:14.505,0 days 00:33:07.989000,,0.0
28925652,821890,2020-12-09T22:06:08.982,2020-12-09T22:17:57.411,0 days 00:11:48.429000,,0.0
28993062,821890,2020-12-10T18:56:51.341,2020-12-10T19:43:50.305,0 days 00:46:58.964000,,0.0
